implementation,operation,algorithm,n,alpha,alpha_after,seconds,trial_1,trial_2,trial_3,trial_4,trial_5
first_character,put_new,first_character,1024,1.0,1.0625,2.4035937485678005e-05,2.701406242522353e-05,2.3801562520020525e-05,2.3123437358663068e-05,2.4035937485678005e-05,2.431250004519825e-05
dict,get_hit,dict,1024,1.0,1.0,1.296873506362317e-07,1.3125008990755305e-07,1.296873506362317e-07,1.296873506362317e-07,1.2968757800990716e-07,1.2656255421461537e-07
dict,get_miss,dict,1024,1.0,1.0,2.578126441221684e-07,2.6093744054378476e-07,2.6406246433907654e-07,2.578126441221684e-07,2.57812416748493e-07,2.57812416748493e-07
dict,put_update,dict,1024,1.0,1.0,1.4531246961269062e-07,1.468749815103365e-07,1.484374934079824e-07,1.4531246961269062e-07,1.4374995771504473e-07,1.4374995771504473e-07
dict,put_new,dict,1024,1.0,1.0625,1.4218744581739884e-07,1.390626493957825e-07,1.4374995771504473e-07,1.4218744581739884e-07,1.4218744581739884e-07,1.4374995771504473e-07
polynomial,get_hit,polynomial,2048,2.0,2.0,1.2015625543426722e-06,1.2015625543426722e-06,1.1921874829567969e-06,1.2062498626619345e-06,1.2187499578431016e-06,1.1875001746375347e-06
polynomial,get_miss,polynomial,2048,2.0,2.0,1.4328124962048605e-06,1.4218751402950147e-06,1.6578123904764652e-06,1.389062390444451e-06,1.4328124962048605e-06,1.4890624697727617e-06
polynomial,put_update,polynomial,2048,2.0,2.0,1.1375000212865416e-06,1.3203125490690582e-06,1.2250000054336851e-06,1.1375000212865416e-06,1.1171875939908205e-06,1.1062500107072992e-06
polynomial,put_new,polynomial,2048,2.0,2.0625,1.4890624697727617e-06,1.4890624697727617e-06,1.271874907615711e-06,1.992187435462256e-06,1.3968749499326805e-06,1.52187499224965e-06
first_character,get_hit,first_character,2048,2.0,2.0,3.0173437380653922e-05,2.7309375127515523e-05,2.8589062594619463e-05,3.0781249961364665e-05,3.0173437380653922e-05,3.358750018378487e-05
first_character,get_miss,first_character,2048,2.0,2.0,5.298593737279589e-05,5.4610937695542816e-05,4.680312508753559e-05,4.8465625013704994e-05,5.3224999874146306e-05,5.298593737279589e-05
first_character,put_update,first_character,2048,2.0,2.0,2.7318749971527723e-05,2.417187488390482e-05,2.8726562504743924e-05,2.764999999271822e-05,2.6553124826023122e-05,2.7318749971527723e-05
first_character,put_new,first_character,2048,2.0,2.0625,5.064375000074506e-05,4.465156257538183e-05,5.064375000074506e-05,4.939062500852742e-05,5.0745312591971015e-05,5.6603124903631397e-05
dict,get_hit,dict,2048,2.0,2.0,1.2500004231696948e-07,1.2500004231696948e-07,1.2968757800990716e-07,1.2499981494329404e-07,1.218750185216777e-07,1.4218744581739884e-07
dict,get_miss,dict,2048,2.0,2.0,2.4687483346497174e-07,2.484375727362931e-07,2.499998572602635e-07,2.453125489410013e-07,2.4687483346497174e-07,2.453125489410013e-07
dict,put_update,dict,2048,2.0,2.0,1.3749991012446117e-07,1.4218744581739884e-07,1.3906242202210706e-07,1.3437511370284483e-07,1.3749991012446117e-07,1.3437511370284483e-07
dict,put_new,dict,2048,2.0,2.0625,1.4062493391975295e-07,1.4062493391975295e-07,1.3749991012446117e-07,1.468749815103365e-07,1.3749991012446117e-07,1.4062493391975295e-07
polynomial,get_hit,polynomial,4096,4.0,4.0,1.4703125543746864e-06,1.4703125543746864e-06,1.779687408998143e-06,1.500000053056283e-06,1.3656251667271135e-06,1.3609374036605004e-06
polynomial,get_miss,polynomial,4096,4.0,4.0,1.8468749658495653e-06,1.8015625755651854e-06,1.617187535885023e-06,2.1187499896768713e-06,1.8968751192005584e-06,1.8468749658495653e-06
polynomial,put_update,polynomial,4096,4.0,4.0,1.3124999895808287e-06,1.4578124591935193e-06,1.5703124063293217e-06,1.2843750027968781e-06,1.3124999895808287e-06,1.2812499790015863e-06
polynomial,put_new,polynomial,4096,4.0,4.0625,1.7531249341118382e-06,3.4453123589628376e-06,1.7531249341118382e-06,1.4906249816704076e-06,1.853125013440149e-06,1.535937599328463e-06
first_character,get_hit,first_character,4096,4.0,4.0,7.106875000317814e-05,7.106875000317814e-05,6.918750000295404e-05,7.297812499018619e-05,7.981093767739367e-05,7.093281260495132e-05
first_character,get_miss,first_character,4096,4.0,4.0,0.00014719218756908958,0.00014039999996384722,0.00014797968765378755,0.00014896250013407553,0.0001468250000016269,0.00014719218756908958
first_character,put_update,first_character,4096,4.0,4.0,6.71984373639134e-05,6.213437518454157e-05,7.516874984503374e-05,7.076874999256688e-05,6.659218752247398e-05,6.71984373639134e-05
first_character,put_new,first_character,4096,4.0,4.0625,0.00013474218758346979,0.00013040937506048067,0.00013474218758346979,0.00013687343766832782,0.00013028593753006135,0.00013745000001108565
dict,get_hit,dict,4096,4.0,4.0,1.76562480191933e-07,1.76562480191933e-07,1.84374812306487e-07,1.7812499208957888e-07,1.749999682942871e-07,1.7187494449899532e-07
dict,get_miss,dict,4096,4.0,4.0,3.5624998417915776e-07,3.5624998417915776e-07,3.5937500797444955e-07,3.4843765206460375e-07,3.5781249607680365e-07,3.515624484862201e-07
dict,put_update,dict,4096,4.0,4.0,1.9843764675897546e-07,1.9531239559000824e-07,1.9843764675897546e-07,2.0312518245191313e-07,1.9531239559000824e-07,2.031249550782377e-07
dict,put_new,dict,4096,4.0,4.0625,1.9062485989707056e-07,1.8906257537310012e-07,1.90625087270746e-07,1.9062485989707056e-07,1.8593755157780834e-07,2.0000015865662135e-07
